date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:38:02	20431/20431	---MC-	200	added ('OK')	text/html	date:Sun,%2022%20Feb%202015%2022:38:04%20GMT	http://www.takoconsult.ru/novoe-zakonodatelstvo/	d:/Working/develop/verstka/takoconsult.ru/webrip/takoconsult/www.takoconsult.ru/novoe-zakonodatelstvo/index.html	(from http://www.takoconsult.ru/)
00:38:10	98618/98618	---M--	200	added ('OK')	image/jpeg	etag:%22b48e8d6-1813a-5342a426%22	http://www.takoconsult.ru/upload/information_system_27/4/2/2/item_422/information_items_422.jpg	d:/Working/develop/verstka/takoconsult.ru/webrip/takoconsult/www.takoconsult.ru/upload/information_system_27/4/2/2/item_422/information_items_422.jpg	(from http://www.takoconsult.ru/)
00:38:11	16799/16799	---MC-	200	added ('OK')	text/html	date:Sun,%2022%20Feb%202015%2022:38:14%20GMT	http://www.takoconsult.ru/seminars/	d:/Working/develop/verstka/takoconsult.ru/webrip/takoconsult/www.takoconsult.ru/seminars/index.html	(from http://www.takoconsult.ru/)
00:38:12	70732/70732	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2002%20Apr%202014%2016:15:12%20GMT	http://www.takoconsult.ru/scriptgal.js	d:/Working/develop/verstka/takoconsult.ru/webrip/takoconsult/www.takoconsult.ru/scriptgal.js	(from http://www.takoconsult.ru/)
00:38:13	97544/97544	---M--	200	added ('OK')	image/jpeg	etag:%22b48e8da-17d08-5342a432%22	http://www.takoconsult.ru/upload/information_system_27/4/2/3/item_423/information_items_423.jpg	d:/Working/develop/verstka/takoconsult.ru/webrip/takoconsult/www.takoconsult.ru/upload/information_system_27/4/2/3/item_423/information_items_423.jpg	(from http://www.takoconsult.ru/)
00:38:13	6294/6294	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2002%20Apr%202014%2016:15:11%20GMT	http://www.takoconsult.ru/jquery.admitad.carousel.js	d:/Working/develop/verstka/takoconsult.ru/webrip/takoconsult/www.takoconsult.ru/jquery.admitad.carousel.js	(from http://www.takoconsult.ru/)
00:38:14	15812/15812	---MC-	200	added ('OK')	text/html	date:Sun,%2022%20Feb%202015%2022:38:16%20GMT	http://www.takoconsult.ru/dlja-smi/	d:/Working/develop/verstka/takoconsult.ru/webrip/takoconsult/www.takoconsult.ru/dlja-smi/index.html	(from http://www.takoconsult.ru/)
00:38:15	3712/3712	---M--	200	added ('OK')	image/png	date:Wed,%2002%20Apr%202014%2016:25:56%20GMT	http://www.takoconsult.ru/img/logo/_sis.png	d:/Working/develop/verstka/takoconsult.ru/webrip/takoconsult/www.takoconsult.ru/img/logo/_sis.png	(from http://www.takoconsult.ru/)
00:38:15	95337/95337	---M--	200	added ('OK')	image/jpeg	etag:%225d2a27d-17469-53aac984%22	http://www.takoconsult.ru/upload/information_system_27/4/2/8/item_428/information_items_428.jpg	d:/Working/develop/verstka/takoconsult.ru/webrip/takoconsult/www.takoconsult.ru/upload/information_system_27/4/2/8/item_428/information_items_428.jpg	(from http://www.takoconsult.ru/)
00:38:15	12489/12489	---MC-	200	added ('OK')	text/html	date:Sun,%2022%20Feb%202015%2022:38:17%20GMT	http://www.takoconsult.ru/contacts/	d:/Working/develop/verstka/takoconsult.ru/webrip/takoconsult/www.takoconsult.ru/contacts/index.html	(from http://www.takoconsult.ru/)
